Subject Label,Subject URI,Predicate Label,Predicate URI,Predicate Symmetry,Object Label,Object URI,Context
Manring L.,http://lab3sdm/Manring L.,writes,writes,Assymetric,Augmented Reality for Interactive Robot Control,http://lab3sdm/Augmented Reality for Interactive Robot Control,
 Pederson J.,http://lab3sdm/Pederson J.,writes,writes,Assymetric,Augmented Reality for Interactive Robot Control,http://lab3sdm/Augmented Reality for Interactive Robot Control,
 Potts D.,http://lab3sdm/Potts D.,writes,writes,Assymetric,Augmented Reality for Interactive Robot Control,http://lab3sdm/Augmented Reality for Interactive Robot Control,
 Boardman B.,http://lab3sdm/Boardman B.,writes,writes,Assymetric,Augmented Reality for Interactive Robot Control,http://lab3sdm/Augmented Reality for Interactive Robot Control,
 Mascarenas D.,http://lab3sdm/Mascarenas D.,writes,writes,Assymetric,Augmented Reality for Interactive Robot Control,http://lab3sdm/Augmented Reality for Interactive Robot Control,
 Harden T.,http://lab3sdm/Harden T.,writes,writes,Assymetric,Augmented Reality for Interactive Robot Control,http://lab3sdm/Augmented Reality for Interactive Robot Control,
 Cattaneo A.,http://lab3sdm/Cattaneo A.,writes,writes,Assymetric,Augmented Reality for Interactive Robot Control,http://lab3sdm/Augmented Reality for Interactive Robot Control,
Samuelson C.R.,http://lab3sdm/Samuelson C.R.,writes,writes,Assymetric,Visio-acoustic data fusion for structural health monitoring applications,http://lab3sdm/Visio-acoustic data fusion for structural health monitoring applications,
 Duffy-Deno C.A.,http://lab3sdm/Duffy-Deno C.A.,writes,writes,Assymetric,Visio-acoustic data fusion for structural health monitoring applications,http://lab3sdm/Visio-acoustic data fusion for structural health monitoring applications,
 Whitworth C.B.,http://lab3sdm/Whitworth C.B.,writes,writes,Assymetric,Visio-acoustic data fusion for structural health monitoring applications,http://lab3sdm/Visio-acoustic data fusion for structural health monitoring applications,
 Mascareas D.D.L.,http://lab3sdm/Mascareas D.D.L.,writes,writes,Assymetric,Visio-acoustic data fusion for structural health monitoring applications,http://lab3sdm/Visio-acoustic data fusion for structural health monitoring applications,
 Tippmann J.D.,http://lab3sdm/Tippmann J.D.,writes,writes,Assymetric,Visio-acoustic data fusion for structural health monitoring applications,http://lab3sdm/Visio-acoustic data fusion for structural health monitoring applications,
 Cattaneo A.,http://lab3sdm/Cattaneo A.,writes,writes,Assymetric,Visio-acoustic data fusion for structural health monitoring applications,http://lab3sdm/Visio-acoustic data fusion for structural health monitoring applications,
Farnsworth C.,http://lab3sdm/Farnsworth C.,writes,writes,Assymetric,Evaluation of curve fitting techniques for estimating time of surcharge release in embankment construction over soft soils,http://lab3sdm/Evaluation of curve fitting techniques for estimating time of surcharge release in embankment construction over soft soils,
Petrie A.,http://lab3sdm/Petrie A.,writes,writes,Assymetric,A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,http://lab3sdm/A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,
 Kinnison W.,http://lab3sdm/Kinnison W.,writes,writes,Assymetric,A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,http://lab3sdm/A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,
 Song Y.,http://lab3sdm/Song Y.,writes,writes,Assymetric,A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,http://lab3sdm/A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,
 Chiang S.-H.W.,http://lab3sdm/Chiang S.-H.W.,writes,writes,Assymetric,A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,http://lab3sdm/A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,
 Layton K.,http://lab3sdm/Layton K.,writes,writes,Assymetric,A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,http://lab3sdm/A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,
Kamminga J.W.,http://lab3sdm/Kamminga J.W.,writes,writes,Assymetric,Synchronization between sensors and cameras in movement data labeling frameworks,http://lab3sdm/Synchronization between sensors and cameras in movement data labeling frameworks,
 Jones M.,http://lab3sdm/Jones M.,writes,writes,Assymetric,Synchronization between sensors and cameras in movement data labeling frameworks,http://lab3sdm/Synchronization between sensors and cameras in movement data labeling frameworks,
 Seppi K.,http://lab3sdm/Seppi K.,writes,writes,Assymetric,Synchronization between sensors and cameras in movement data labeling frameworks,http://lab3sdm/Synchronization between sensors and cameras in movement data labeling frameworks,
 Meratnia N.,http://lab3sdm/Meratnia N.,writes,writes,Assymetric,Synchronization between sensors and cameras in movement data labeling frameworks,http://lab3sdm/Synchronization between sensors and cameras in movement data labeling frameworks,
 Havinga P.J.M.,http://lab3sdm/Havinga P.J.M.,writes,writes,Assymetric,Synchronization between sensors and cameras in movement data labeling frameworks,http://lab3sdm/Synchronization between sensors and cameras in movement data labeling frameworks,
Russell C.S.,http://lab3sdm/Russell C.S.,writes,writes,Assymetric,Improving full-scale models of new carbon capture technologies with uncertainty quantification,http://lab3sdm/Improving full-scale models of new carbon capture technologies with uncertainty quantification,
 Bhat S.K.,http://lab3sdm/Bhat S.K.,writes,writes,Assymetric,Improving full-scale models of new carbon capture technologies with uncertainty quantification,http://lab3sdm/Improving full-scale models of new carbon capture technologies with uncertainty quantification,
 Kress J.D.,http://lab3sdm/Kress J.D.,writes,writes,Assymetric,Improving full-scale models of new carbon capture technologies with uncertainty quantification,http://lab3sdm/Improving full-scale models of new carbon capture technologies with uncertainty quantification,
 Baxter L.L.,http://lab3sdm/Baxter L.L.,writes,writes,Assymetric,Improving full-scale models of new carbon capture technologies with uncertainty quantification,http://lab3sdm/Improving full-scale models of new carbon capture technologies with uncertainty quantification,
 Freeman C.J.,http://lab3sdm/Freeman C.J.,writes,writes,Assymetric,Improving full-scale models of new carbon capture technologies with uncertainty quantification,http://lab3sdm/Improving full-scale models of new carbon capture technologies with uncertainty quantification,
 Jiang Y.,http://lab3sdm/Jiang Y.,writes,writes,Assymetric,Improving full-scale models of new carbon capture technologies with uncertainty quantification,http://lab3sdm/Improving full-scale models of new carbon capture technologies with uncertainty quantification,
 Morgan J.C.,http://lab3sdm/Morgan J.C.,writes,writes,Assymetric,Improving full-scale models of new carbon capture technologies with uncertainty quantification,http://lab3sdm/Improving full-scale models of new carbon capture technologies with uncertainty quantification,
Swindlehurst E.,http://lab3sdm/Swindlehurst E.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
 Jensen H.,http://lab3sdm/Jensen H.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
 Petrie A.,http://lab3sdm/Petrie A.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
 Song Y.,http://lab3sdm/Song Y.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
 Kuan Y.-C.,http://lab3sdm/Kuan Y.-C.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
 Chang M.-C.F.,http://lab3sdm/Chang M.-C.F.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
 Wu J.-T.,http://lab3sdm/Wu J.-T.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
 Chiang S.-H.W.,http://lab3sdm/Chiang S.-H.W.,writes,writes,Assymetric,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,http://lab3sdm/An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,
Cannon M.,http://lab3sdm/Cannon M.,writes,writes,Assymetric,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs","http://lab3sdm/Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",
 Perez-Celis A.,http://lab3sdm/Perez-Celis A.,writes,writes,Assymetric,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs","http://lab3sdm/Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",
 Swift G.,http://lab3sdm/Swift G.,writes,writes,Assymetric,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs","http://lab3sdm/Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",
 Wong R.,http://lab3sdm/Wong R.,writes,writes,Assymetric,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs","http://lab3sdm/Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",
 Wen S.-J.,http://lab3sdm/Wen S.-J.,writes,writes,Assymetric,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs","http://lab3sdm/Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",
 Wirthlin M.,http://lab3sdm/Wirthlin M.,writes,writes,Assymetric,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs","http://lab3sdm/Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs",
Swift G.M.,http://lab3sdm/Swift G.M.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Stone S.E.,http://lab3sdm/Stone S.E.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Garcia S.E.,http://lab3sdm/Garcia S.E.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Wray K.W.,http://lab3sdm/Wray K.W.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Rowe W.J.,http://lab3sdm/Rowe W.J.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Pfau K.H.,http://lab3sdm/Pfau K.H.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Liu R.,http://lab3sdm/Liu R.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Holden J.,http://lab3sdm/Holden J.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Angeles A.,http://lab3sdm/Angeles A.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Willits B.L.,http://lab3sdm/Willits B.L.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Robinson K.P.,http://lab3sdm/Robinson K.P.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Perez-Celis A.,http://lab3sdm/Perez-Celis A.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
 Wirthlin M.J.,http://lab3sdm/Wirthlin M.J.,writes,writes,Assymetric,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,http://lab3sdm/Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,
Amini E.,http://lab3sdm/Amini E.,writes,writes,Assymetric,Pyrolysis of live vegetation at slow heating rates,http://lab3sdm/Pyrolysis of live vegetation at slow heating rates,
 Safdari M.-S.,http://lab3sdm/Safdari M.-S.,writes,writes,Assymetric,Pyrolysis of live vegetation at slow heating rates,http://lab3sdm/Pyrolysis of live vegetation at slow heating rates,
 Rahmati M.,http://lab3sdm/Rahmati M.,writes,writes,Assymetric,Pyrolysis of live vegetation at slow heating rates,http://lab3sdm/Pyrolysis of live vegetation at slow heating rates,
 Howarth J.,http://lab3sdm/Howarth J.,writes,writes,Assymetric,Pyrolysis of live vegetation at slow heating rates,http://lab3sdm/Pyrolysis of live vegetation at slow heating rates,
 DeYoung J.,http://lab3sdm/DeYoung J.,writes,writes,Assymetric,Pyrolysis of live vegetation at slow heating rates,http://lab3sdm/Pyrolysis of live vegetation at slow heating rates,
 Fletcher T.H.,http://lab3sdm/Fletcher T.H.,writes,writes,Assymetric,Pyrolysis of live vegetation at slow heating rates,http://lab3sdm/Pyrolysis of live vegetation at slow heating rates,
Billings B.,http://lab3sdm/Billings B.,writes,writes,Assymetric,Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,http://lab3sdm/Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,
 Roberts M.,http://lab3sdm/Roberts M.,writes,writes,Assymetric,Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,http://lab3sdm/Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,
 Butler B.,http://lab3sdm/Butler B.,writes,writes,Assymetric,Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,http://lab3sdm/Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,
 Fletcher T.H.,http://lab3sdm/Fletcher T.H.,writes,writes,Assymetric,Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,http://lab3sdm/Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,
Holland T.,http://lab3sdm/Holland T.,writes,writes,Assymetric,Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions,http://lab3sdm/Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions,
 Fletcher T.H.,http://lab3sdm/Fletcher T.H.,writes,writes,Assymetric,Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions,http://lab3sdm/Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions,
Hosler T.,http://lab3sdm/Hosler T.,writes,writes,Assymetric,Impact of particle properties on radiative heat flux in an oxy-coal reactor,http://lab3sdm/Impact of particle properties on radiative heat flux in an oxy-coal reactor,
 Adams B.,http://lab3sdm/Adams B.,writes,writes,Assymetric,Impact of particle properties on radiative heat flux in an oxy-coal reactor,http://lab3sdm/Impact of particle properties on radiative heat flux in an oxy-coal reactor,
Josephson A.J.,http://lab3sdm/Josephson A.J.,writes,writes,Assymetric,Modeling soot formation from solid complex fuels,http://lab3sdm/Modeling soot formation from solid complex fuels,
 Hopkins E.,http://lab3sdm/Hopkins E.,writes,writes,Assymetric,Modeling soot formation from solid complex fuels,http://lab3sdm/Modeling soot formation from solid complex fuels,
 Linn R.R.,http://lab3sdm/Linn R.R.,writes,writes,Assymetric,Modeling soot formation from solid complex fuels,http://lab3sdm/Modeling soot formation from solid complex fuels,
 Lignell D.O.,http://lab3sdm/Lignell D.O.,writes,writes,Assymetric,Modeling soot formation from solid complex fuels,http://lab3sdm/Modeling soot formation from solid complex fuels,
Rahmati M.,http://lab3sdm/Rahmati M.,writes,writes,Assymetric,Investigation of merging flames in Horizontal and vertical Geometries,http://lab3sdm/Investigation of merging flames in Horizontal and vertical Geometries,
 Harper C.,http://lab3sdm/Harper C.,writes,writes,Assymetric,Investigation of merging flames in Horizontal and vertical Geometries,http://lab3sdm/Investigation of merging flames in Horizontal and vertical Geometries,
 Butler M.,http://lab3sdm/Butler M.,writes,writes,Assymetric,Investigation of merging flames in Horizontal and vertical Geometries,http://lab3sdm/Investigation of merging flames in Horizontal and vertical Geometries,
 Safdari M.-S.,http://lab3sdm/Safdari M.-S.,writes,writes,Assymetric,Investigation of merging flames in Horizontal and vertical Geometries,http://lab3sdm/Investigation of merging flames in Horizontal and vertical Geometries,
 Amini E.,http://lab3sdm/Amini E.,writes,writes,Assymetric,Investigation of merging flames in Horizontal and vertical Geometries,http://lab3sdm/Investigation of merging flames in Horizontal and vertical Geometries,
 Fletcher T.H.,http://lab3sdm/Fletcher T.H.,writes,writes,Assymetric,Investigation of merging flames in Horizontal and vertical Geometries,http://lab3sdm/Investigation of merging flames in Horizontal and vertical Geometries,
Schroedter T.,http://lab3sdm/Schroedter T.,writes,writes,Assymetric,Modeling a pressurized coal feed system,http://lab3sdm/Modeling a pressurized coal feed system,
 Adams B.,http://lab3sdm/Adams B.,writes,writes,Assymetric,Modeling a pressurized coal feed system,http://lab3sdm/Modeling a pressurized coal feed system,
Williams T.,http://lab3sdm/Williams T.,writes,writes,Assymetric,A fast-running simulation tool for axisymmetric oxy-coal combustors,http://lab3sdm/A fast-running simulation tool for axisymmetric oxy-coal combustors,
 Adams B.,http://lab3sdm/Adams B.,writes,writes,Assymetric,A fast-running simulation tool for axisymmetric oxy-coal combustors,http://lab3sdm/A fast-running simulation tool for axisymmetric oxy-coal combustors,
Jamal A.-S.,http://lab3sdm/Jamal A.-S.,writes,writes,Assymetric,Architecture exploration for HLS-oriented FPGA debug overlays,http://lab3sdm/Architecture exploration for HLS-oriented FPGA debug overlays,
 Goeders J.,http://lab3sdm/Goeders J.,writes,writes,Assymetric,Architecture exploration for HLS-oriented FPGA debug overlays,http://lab3sdm/Architecture exploration for HLS-oriented FPGA debug overlays,
 Wilton S.J.E.,http://lab3sdm/Wilton S.J.E.,writes,writes,Assymetric,Architecture exploration for HLS-oriented FPGA debug overlays,http://lab3sdm/Architecture exploration for HLS-oriented FPGA debug overlays,
Keller A.M.,http://lab3sdm/Keller A.M.,writes,writes,Assymetric,Impact of soft errors on large-scale FPGA cloud computing,http://lab3sdm/Impact of soft errors on large-scale FPGA cloud computing,
 Wirthlin M.J.,http://lab3sdm/Wirthlin M.J.,writes,writes,Assymetric,Impact of soft errors on large-scale FPGA cloud computing,http://lab3sdm/Impact of soft errors on large-scale FPGA cloud computing,
Noronha D.H.,http://lab3sdm/Noronha D.H.,writes,writes,Assymetric,On-chip FPGA debug instrumentation for machine learning applications,http://lab3sdm/On-chip FPGA debug instrumentation for machine learning applications,
 Zhao R.,http://lab3sdm/Zhao R.,writes,writes,Assymetric,On-chip FPGA debug instrumentation for machine learning applications,http://lab3sdm/On-chip FPGA debug instrumentation for machine learning applications,
 Goeders J.,http://lab3sdm/Goeders J.,writes,writes,Assymetric,On-chip FPGA debug instrumentation for machine learning applications,http://lab3sdm/On-chip FPGA debug instrumentation for machine learning applications,
 Luk W.,http://lab3sdm/Luk W.,writes,writes,Assymetric,On-chip FPGA debug instrumentation for machine learning applications,http://lab3sdm/On-chip FPGA debug instrumentation for machine learning applications,
 Wilton S.J.E.,http://lab3sdm/Wilton S.J.E.,writes,writes,Assymetric,On-chip FPGA debug instrumentation for machine learning applications,http://lab3sdm/On-chip FPGA debug instrumentation for machine learning applications,
Amoroso S.,http://lab3sdm/Amoroso S.,writes,writes,Assymetric,"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy","http://lab3sdm/Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy",
 Rollins K.M.,http://lab3sdm/Rollins K.M.,writes,writes,Assymetric,"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy","http://lab3sdm/Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy",
 Lusvardi C.,http://lab3sdm/Lusvardi C.,writes,writes,Assymetric,"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy","http://lab3sdm/Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy",
 Monaco P.,http://lab3sdm/Monaco P.,writes,writes,Assymetric,"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy","http://lab3sdm/Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy",
 Milana G.,http://lab3sdm/Milana G.,writes,writes,Assymetric,"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy","http://lab3sdm/Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy",
Asimaki D.,http://lab3sdm/Asimaki D.,writes,writes,Assymetric,"Mexico City Basin Effects: Past, Present, and Future","http://lab3sdm/Mexico City Basin Effects: Past, Present, and Future",
 Villa J.M.,http://lab3sdm/Villa J.M.,writes,writes,Assymetric,"Mexico City Basin Effects: Past, Present, and Future","http://lab3sdm/Mexico City Basin Effects: Past, Present, and Future",
 Ayoubi P.,http://lab3sdm/Ayoubi P.,writes,writes,Assymetric,"Mexico City Basin Effects: Past, Present, and Future","http://lab3sdm/Mexico City Basin Effects: Past, Present, and Future",
 Franke K.,http://lab3sdm/Franke K.,writes,writes,Assymetric,"Mexico City Basin Effects: Past, Present, and Future","http://lab3sdm/Mexico City Basin Effects: Past, Present, and Future",
 Hutchinson T.,http://lab3sdm/Hutchinson T.,writes,writes,Assymetric,"Mexico City Basin Effects: Past, Present, and Future","http://lab3sdm/Mexico City Basin Effects: Past, Present, and Future",
Cabas A.,http://lab3sdm/Cabas A.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
 Beyzaei C.,http://lab3sdm/Beyzaei C.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
 Franke K.,http://lab3sdm/Franke K.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
 Koehler R.,http://lab3sdm/Koehler R.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
 Pierce I.,http://lab3sdm/Pierce I.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
 Stuedlein A.,http://lab3sdm/Stuedlein A.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
 Yang Z.,http://lab3sdm/Yang Z.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
 Christie S.,http://lab3sdm/Christie S.,writes,writes,Assymetric,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,http://lab3sdm/Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,
Campbell C.,http://lab3sdm/Campbell C.,writes,writes,Assymetric,Comparing in Situ Soil Water Characteristic Curves to Those Generated in the Lab,http://lab3sdm/Comparing in Situ Soil Water Characteristic Curves to Those Generated in the Lab,
 Campbell A.,http://lab3sdm/Campbell A.,writes,writes,Assymetric,Comparing in Situ Soil Water Characteristic Curves to Those Generated in the Lab,http://lab3sdm/Comparing in Situ Soil Water Characteristic Curves to Those Generated in the Lab,
